property_id,destination,property_type,nr_rooms,facilities
2837,Brisbane,Hotel,20,"bbq,pool,garden,free wifi"
3082,Brisbane,Hotel,27,airport shuttle
2295,Brisbane,Apartment,5,parking
1253,Brisbane,Apartment,9,"pool,parking"
4748,Brisbane,Apartment,3,"free wifi,pool,kitchen"
2940,Brisbane,Apartment,9,"kitchen,parking"
1626,Brisbane,Apartment,6,kitchen
4451,Brisbane,Apartment,9,"laundry,free wifi,garden,parking"
3896,Brisbane,Hotel,25,"on-site restaurant,bbq"
1884,Brisbane,Apartment,9,"laundry,parking,free wifi"
4285,Brisbane,Apartment,6,"laundry,parking,free wifi,kitchen"
2747,Brisbane,Apartment,4,"garden,pool,parking,kitchen"
3417,Brisbane,Apartment,7,"pool,game console,laundry"
4186,Brisbane,Apartment,8,"bbq,free wifi,kitchen,garden,breakfast,pool,laundry"
2678,Brisbane,Apartment,6,"kitchen,laundry,pool"
2293,Brisbane,Apartment,7,kitchen
3080,Brisbane,Hotel,44,airport shuttle
5156,Brisbane,Apartment,4,"free wifi,bbq,kitchen,game console,laundry"
3232,Brisbane,Apartment,7,pool
4531,Brisbane,Apartment,1,"kitchen,free wifi,garden"
2097,Brisbane,Apartment,13,"bbq,kitchen,laundry,pool"
4696,Brisbane,Apartment,9,garden
2712,Brisbane,Hotel,31,"pool,garden,breakfast,free wifi"
3017,Brisbane,Apartment,6,"pool,bbq,game console,laundry,parking,garden,kitchen,free wifi"
1400,Brisbane,Apartment,7,game console
4073,Brisbane,Apartment,7,"laundry,free wifi,parking,bbq,garden,pool,kitchen,game console"
4566,Brisbane,Apartment,3,parking
3465,Brisbane,Apartment,6,"laundry,free wifi,breakfast,kitchen,parking"
2851,Brisbane,Apartment,16,kitchen
2551,Brisbane,Apartment,3,laundry
2310,Brisbane,Apartment,12,"bbq,pool,parking,breakfast"
1026,Brisbane,Hotel,12,"breakfast,free wifi,on-site restaurant,pool,airport shuttle,garden"
1428,Brisbane,Apartment,5,"kitchen,laundry,free wifi"
2802,Brisbane,Apartment,2,laundry
4422,Brisbane,Apartment,3,"parking,free wifi,pool,laundry,game console,kitchen,garden"
4409,Brisbane,Apartment,3,"kitchen,bbq,laundry,garden,pool,free wifi,game console,parking,breakfast"
3196,Brisbane,Apartment,3,"kitchen,pool,laundry,parking,free wifi"
2390,Brisbane,Apartment,9,"garden,bbq,free wifi"
1886,Brisbane,Hotel,40,"bbq,pool,breakfast,free wifi"
1578,Brisbane,Apartment,2,"breakfast,bbq,free wifi,kitchen"
4778,Brisbane,Apartment,8,free wifi
2973,Brisbane,Apartment,5,game console
4673,Brisbane,Apartment,5,"parking,free wifi,laundry,garden,kitchen,game console"
3695,Brisbane,Apartment,7,"bbq,pool"
1219,Brisbane,Apartment,NA,free wifi
2052,Brisbane,Apartment,7,free wifi
1225,Brisbane,Apartment,6,"laundry,free wifi,pool,parking"
4838,Brisbane,Apartment,5,pool
4419,Brisbane,Apartment,3,"kitchen,free wifi,parking,laundry"
2836,Brisbane,Apartment,6,"pool,laundry,kitchen,parking,bbq,free wifi,garden"
1523,Brisbane,Apartment,10,"parking,kitchen,game console"
3946,Brisbane,Hotel,25,pool
1475,Brisbane,Hotel,23,breakfast
4556,Brisbane,Apartment,10,pool
4904,Brisbane,Apartment,10,"kitchen,laundry,game console,parking,free wifi,bbq,pool"
4440,Brisbane,Apartment,17,"bbq,kitchen,garden,parking,laundry,breakfast,game console"
1751,Brisbane,Apartment,3,"laundry,free wifi,pool"
4080,Brisbane,Apartment,9,"free wifi,bbq"
1596,Brisbane,Apartment,NA,"kitchen,garden"
4139,Brisbane,Apartment,6,"free wifi,parking,pool"
3984,Brisbane,Apartment,3,"kitchen,pool"
4813,Brisbane,Apartment,3,"parking,laundry,kitchen,garden"
1955,Brisbane,Apartment,6,"laundry,kitchen"
1799,Brisbane,Hotel,19,"airport shuttle,free wifi,on-site restaurant"
3444,Brisbane,Apartment,7,"parking,bbq"
2049,Brisbane,Apartment,6,"kitchen,pool"
5060,Brisbane,Apartment,6,"laundry,free wifi,pool,bbq,garden,parking,breakfast,game console"
4407,Brisbane,Apartment,2,"kitchen,garden,pool,laundry,bbq,free wifi,parking,breakfast"
4108,Brisbane,Apartment,1,"laundry,breakfast,parking,free wifi,game console"
1463,Brisbane,Apartment,5,free wifi
1925,Brisbane,Apartment,2,"parking,free wifi"
1148,Brisbane,Apartment,4,"free wifi,garden,laundry,parking,kitchen,pool,game console"
2679,Brisbane,Apartment,5,"game console,pool,free wifi,garden"
4494,Brisbane,Apartment,2,"breakfast,parking,garden,pool,free wifi,bbq"
4275,Brisbane,Apartment,7,free wifi
2410,Brisbane,Apartment,5,parking
2523,Brisbane,Apartment,2,"laundry,kitchen,free wifi,parking,pool,bbq,breakfast"
1013,Brisbane,Apartment,5,"free wifi,parking,kitchen,bbq"
1867,Brisbane,Apartment,NA,"free wifi,kitchen,garden"
3684,Brisbane,Apartment,4,"laundry,parking,pool,garden,kitchen,game console,free wifi,bbq,breakfast"
2161,Brisbane,Apartment,4,"parking,kitchen,pool,laundry"
4677,Brisbane,Apartment,6,laundry
4369,Brisbane,Apartment,4,"free wifi,parking,kitchen,pool,garden,bbq"
3200,Brisbane,Apartment,4,"free wifi,laundry,parking"
2789,Brisbane,Apartment,1,"kitchen,bbq,laundry,free wifi,pool,parking,game console"
3124,Brisbane,Apartment,4,"pool,kitchen,game console"
1902,Brisbane,Apartment,3,"parking,free wifi,bbq,pool,kitchen"
1849,Brisbane,Apartment,1,"parking,free wifi,pool,kitchen,game console"
4670,Brisbane,Apartment,1,"kitchen,free wifi,laundry"
1188,Amsterdam,Hotel,3,"airport shuttle,on-site restaurant"
1768,Amsterdam,Apartment,4,"breakfast,laundry,free wifi"
4417,Amsterdam,Hotel,7,"airport shuttle,free wifi,on-site restaurant,breakfast"
2455,Amsterdam,Hotel,7,"on-site restaurant,breakfast,free wifi,bbq,parking,garden,pool,airport shuttle"
3596,Amsterdam,Apartment,4,"pool,parking,garden,kitchen,laundry,free wifi,bbq,game console"
4645,Amsterdam,Hotel,5,"breakfast,free wifi"
2468,Amsterdam,Apartment,2,"laundry,parking,kitchen,pool"
3701,Amsterdam,Apartment,3,"laundry,parking,bbq"
4989,Amsterdam,Hotel,15,"garden,airport shuttle"
3903,Amsterdam,Hotel,5,"pool,free wifi"
4837,Amsterdam,Hotel,5,"breakfast,garden,airport shuttle,free wifi,pool"
2003,Amsterdam,Apartment,2,parking
2955,Amsterdam,Apartment,NA,"pool,free wifi,kitchen"
3439,Amsterdam,Apartment,5,pool
2090,Amsterdam,Hotel,21,"airport shuttle,free wifi,spa,garden"
1583,Amsterdam,Apartment,6,"parking,garden"
1700,Amsterdam,Apartment,1,"kitchen,free wifi,parking,laundry,breakfast,pool"
3383,Amsterdam,Hotel,NA,breakfast
1161,Amsterdam,Hotel,7,"breakfast,bbq"
2975,Amsterdam,Hotel,6,"free wifi,on-site restaurant,breakfast,pool,bbq"
2172,Amsterdam,Apartment,4,kitchen
3429,Amsterdam,Hotel,2,"on-site restaurant,free wifi,breakfast,bbq,airport shuttle,garden"
4839,Amsterdam,Hotel,10,"on-site restaurant,breakfast"
2388,Amsterdam,Apartment,2,"free wifi,pool"
1643,Amsterdam,Apartment,6,laundry
4289,Amsterdam,Hotel,4,"breakfast,garden"
3728,Amsterdam,Apartment,5,"game console,bbq,laundry,free wifi,breakfast,pool"
4577,Amsterdam,Hotel,4,"free wifi,airport shuttle"
1845,Amsterdam,Apartment,9,"free wifi,game console,breakfast,laundry,parking"
4193,Amsterdam,Hotel,9,"breakfast,free wifi,airport shuttle,on-site restaurant,bbq,spa,garden"
1763,Amsterdam,Hotel,6,"free wifi,breakfast"
3238,Amsterdam,Hotel,10,"on-site restaurant,free wifi,pool,airport shuttle"
1108,Amsterdam,Apartment,NA,kitchen
1808,Amsterdam,Hotel,15,"bbq,breakfast,free wifi"
3820,Amsterdam,Hotel,3,on-site restaurant
3058,Amsterdam,Hotel,11,"breakfast,free wifi,parking"
4084,Amsterdam,Hotel,14,"on-site restaurant,free wifi,breakfast,airport shuttle,pool"
4462,Amsterdam,Apartment,2,"kitchen,laundry,free wifi"
1871,Amsterdam,Apartment,2,"parking,game console,bbq,laundry"
1900,Amsterdam,Hotel,8,"bbq,parking,on-site restaurant,airport shuttle"
3206,Amsterdam,Apartment,3,"game console,kitchen,pool,garden"
4962,Amsterdam,Hotel,9,"breakfast,free wifi,on-site restaurant,spa,bbq"
4752,Amsterdam,Apartment,3,"kitchen,parking,pool"
1935,Amsterdam,Hotel,4,"bbq,breakfast,free wifi,garden,parking,on-site restaurant,airport shuttle,pool,spa"
5167,Amsterdam,Hotel,7,breakfast
2109,Amsterdam,Apartment,NA,"free wifi,bbq"
2617,Amsterdam,Hotel,6,"airport shuttle,breakfast,on-site restaurant,free wifi,pool,bbq,parking,garden"
4398,Amsterdam,Hotel,4,"pool,free wifi,bbq,airport shuttle,breakfast,parking,on-site restaurant,garden"
4644,Amsterdam,Apartment,2,"kitchen,laundry,parking,free wifi,pool,garden,bbq"
3113,Amsterdam,Hotel,3,"bbq,breakfast,airport shuttle,spa,free wifi"
4096,Amsterdam,Hotel,8,breakfast
1833,Amsterdam,Hotel,4,on-site restaurant
1123,Amsterdam,Hotel,14,"pool,breakfast,airport shuttle,bbq"
2849,Amsterdam,Apartment,2,"free wifi,pool,garden"
1455,Amsterdam,Apartment,7,"free wifi,bbq,parking,kitchen"
4709,Amsterdam,Hotel,3,breakfast
3951,Amsterdam,Apartment,3,"kitchen,pool,laundry,garden"
1760,Amsterdam,Hotel,7,"bbq,pool,breakfast"
2650,Amsterdam,Apartment,9,"free wifi,laundry,parking,kitchen,breakfast"
1707,Amsterdam,Apartment,5,"parking,free wifi,garden"
2243,Amsterdam,Apartment,5,parking
4501,Amsterdam,Apartment,4,"free wifi,laundry,pool,kitchen,garden"
1571,Amsterdam,Apartment,8,"game console,laundry,parking,garden,bbq,free wifi,kitchen,breakfast"
2254,Amsterdam,Hotel,12,"airport shuttle,on-site restaurant,free wifi,pool"
4777,Amsterdam,Hotel,5,"pool,parking,breakfast,free wifi,airport shuttle"
3506,Amsterdam,Hotel,5,"pool,free wifi,parking,spa,on-site restaurant"
1942,Amsterdam,Hotel,2,"breakfast,free wifi,pool,airport shuttle"
4881,Amsterdam,Hotel,7,"airport shuttle,on-site restaurant"
2742,Amsterdam,Apartment,1,kitchen
1970,Amsterdam,Hotel,9,"airport shuttle,on-site restaurant"
4040,Amsterdam,Hotel,8,on-site restaurant
1254,Amsterdam,Apartment,3,"free wifi,garden,breakfast,bbq"
3384,Amsterdam,Hotel,3,"spa,on-site restaurant,breakfast,airport shuttle,free wifi"
3497,Amsterdam,Hotel,6,pool
3961,Amsterdam,Hotel,10,pool
1938,Amsterdam,Hotel,1,"garden,airport shuttle"
3536,Amsterdam,Hotel,2,"garden,breakfast,airport shuttle"
2790,Amsterdam,Hotel,8,"free wifi,breakfast,spa,on-site restaurant"
1384,Amsterdam,Hotel,5,free wifi
4390,Amsterdam,Hotel,5,"parking,on-site restaurant,spa,free wifi"
3471,Amsterdam,Apartment,6,"free wifi,kitchen,pool,game console,garden,laundry"
1798,Amsterdam,Apartment,1,"garden,bbq,kitchen,pool,free wifi,laundry,parking,breakfast"
1334,Amsterdam,Hotel,3,"on-site restaurant,breakfast,spa,airport shuttle"
2871,Amsterdam,Apartment,2,"laundry,kitchen"
4802,Amsterdam,Apartment,6,parking
4200,Amsterdam,Apartment,2,"breakfast,parking,free wifi"
3175,Amsterdam,Hotel,4,free wifi
4486,Amsterdam,Apartment,3,"parking,garden,pool,bbq,kitchen,laundry,free wifi"
4351,Amsterdam,Apartment,3,"kitchen,parking,breakfast,bbq,laundry,free wifi,game console"
4391,Amsterdam,Hotel,6,airport shuttle
2725,Amsterdam,Hotel,5,"pool,breakfast,on-site restaurant,airport shuttle,garden,free wifi"
3376,Amsterdam,Hotel,9,"airport shuttle,on-site restaurant,breakfast,parking,free wifi,spa,pool,garden,bbq"
3298,Amsterdam,Hotel,5,"breakfast,garden,free wifi,pool,airport shuttle"
1041,Amsterdam,Hotel,7,airport shuttle
4439,Amsterdam,Hotel,12,"breakfast,bbq,garden,free wifi,on-site restaurant,spa,airport shuttle,pool"
4231,Amsterdam,Apartment,3,bbq
1557,Amsterdam,Hotel,10,airport shuttle
1717,Amsterdam,Hotel,6,"breakfast,parking,bbq,pool"
3745,Amsterdam,Apartment,3,"kitchen,pool,game console,breakfast"
3834,Amsterdam,Hotel,3,"pool,breakfast,free wifi,bbq"
2009,Amsterdam,Apartment,3,"free wifi,laundry,parking,bbq,kitchen,pool,garden"
3074,Amsterdam,Hotel,12,"free wifi,breakfast,airport shuttle,on-site restaurant,spa,garden"
3561,Amsterdam,Hotel,6,"garden,airport shuttle,free wifi,pool,breakfast,spa,on-site restaurant,bbq,parking"
3281,Amsterdam,Apartment,4,"bbq,pool,free wifi,game console"
5079,Amsterdam,Apartment,3,"garden,parking,pool,kitchen"
1903,Amsterdam,Hotel,6,"garden,airport shuttle,pool,breakfast,free wifi"
1390,Amsterdam,Hotel,7,"bbq,breakfast,free wifi"
3187,Amsterdam,Apartment,4,kitchen
3704,Amsterdam,Apartment,4,"bbq,pool,free wifi,parking,kitchen"
2269,Amsterdam,Hotel,5,"breakfast,pool,on-site restaurant,airport shuttle,free wifi,spa"
4483,Amsterdam,Apartment,1,parking
1104,Amsterdam,Apartment,5,"pool,bbq,free wifi,parking,kitchen"
4975,Amsterdam,Apartment,4,"kitchen,free wifi"
2938,Amsterdam,Apartment,NA,kitchen
4026,Amsterdam,Apartment,1,"bbq,parking,pool,kitchen,laundry,free wifi,breakfast,garden"
1764,Amsterdam,Apartment,12,"pool,free wifi,kitchen,parking,bbq"
2449,Amsterdam,Hotel,NA,"parking,airport shuttle,pool,breakfast,on-site restaurant,bbq,garden,spa,free wifi"
1825,Amsterdam,Apartment,2,"kitchen,bbq,free wifi,laundry,pool,game console,parking,garden"
1262,Amsterdam,Hotel,5,"airport shuttle,parking"
2536,Amsterdam,Hotel,5,"on-site restaurant,breakfast,free wifi,airport shuttle,pool,garden"
2312,Amsterdam,Hotel,9,"breakfast,garden,airport shuttle,bbq"
3329,Amsterdam,Hotel,6,"garden,pool,airport shuttle"
2542,Amsterdam,Hotel,8,"breakfast,free wifi,bbq,on-site restaurant,garden,airport shuttle,spa"
2759,Amsterdam,Hotel,6,"free wifi,on-site restaurant"
2247,Amsterdam,Hotel,10,free wifi
1207,Amsterdam,Hotel,8,"on-site restaurant,airport shuttle,free wifi"
4917,Amsterdam,Apartment,2,bbq
2844,Amsterdam,Apartment,2,"pool,bbq,laundry"
1844,Amsterdam,Hotel,8,free wifi
4368,Amsterdam,Apartment,5,"pool,laundry"
3560,Amsterdam,Hotel,6,"free wifi,bbq,breakfast,airport shuttle"
4902,Amsterdam,Apartment,8,"parking,laundry,free wifi,bbq,garden,game console"
2738,Amsterdam,Hotel,4,"free wifi,on-site restaurant,airport shuttle,bbq,pool,spa"
1916,Amsterdam,Hotel,7,"breakfast,on-site restaurant,airport shuttle,free wifi,bbq,pool,parking"
3774,Amsterdam,Apartment,3,"kitchen,parking,free wifi,laundry,bbq,game console"
1977,Amsterdam,Hotel,4,on-site restaurant
2886,Amsterdam,Hotel,6,"airport shuttle,on-site restaurant,bbq,free wifi,garden"
4062,Amsterdam,Hotel,NA,"garden,free wifi,airport shuttle,on-site restaurant,spa,breakfast,pool,bbq"
4513,Amsterdam,Apartment,4,parking
1361,Amsterdam,Hotel,2,bbq
3073,Amsterdam,Hotel,6,spa
2692,Amsterdam,Apartment,2,"parking,pool,bbq"
3487,Amsterdam,Apartment,4,"laundry,free wifi"
3427,Amsterdam,Apartment,3,"kitchen,bbq,pool,parking,garden"
4159,Amsterdam,Apartment,3,"laundry,parking"
2393,Amsterdam,Apartment,1,"bbq,game console,free wifi,parking,kitchen,pool"
1725,Amsterdam,Apartment,4,kitchen
2846,Amsterdam,Hotel,8,"breakfast,airport shuttle"
4280,Amsterdam,Apartment,8,"garden,kitchen,parking,laundry,bbq"
4098,Amsterdam,Apartment,3,"garden,free wifi,laundry,parking,bbq,pool,breakfast"
4898,Amsterdam,Hotel,9,"breakfast,airport shuttle,free wifi,spa"
2913,Amsterdam,Hotel,4,"pool,breakfast,airport shuttle,spa"
2616,Amsterdam,Apartment,1,"kitchen,laundry"
4668,Amsterdam,Hotel,12,airport shuttle
1748,Amsterdam,Apartment,1,"free wifi,laundry,kitchen,parking,game console,bbq,pool,garden"
4859,Amsterdam,Hotel,6,bbq
3284,Amsterdam,Apartment,NA,"garden,parking"
3824,Amsterdam,Apartment,5,"bbq,laundry,free wifi,pool,kitchen"
2970,Amsterdam,Apartment,NA,"laundry,parking"
1831,Amsterdam,Apartment,8,"kitchen,laundry,parking"
3993,Amsterdam,Apartment,3,bbq
1766,Amsterdam,Apartment,2,"kitchen,free wifi"
5044,Amsterdam,Apartment,5,"breakfast,parking,bbq,kitchen"
1756,Amsterdam,Apartment,4,pool
2162,Amsterdam,Apartment,4,game console
3862,Amsterdam,Apartment,6,"parking,game console"
3006,Amsterdam,Hotel,10,"free wifi,spa"
3176,Amsterdam,Hotel,9,"garden,airport shuttle"
1586,Amsterdam,Apartment,5,"free wifi,garden,bbq"
1920,Amsterdam,Apartment,2,"kitchen,free wifi,game console,laundry,bbq,pool,breakfast"
1869,Amsterdam,Hotel,10,"breakfast,bbq,parking,airport shuttle,pool,free wifi"
2905,Amsterdam,Apartment,3,laundry
2567,Amsterdam,Hotel,16,"pool,airport shuttle"
3920,Amsterdam,Apartment,7,"kitchen,parking"
4856,Amsterdam,Hotel,4,airport shuttle
2860,Amsterdam,Hotel,4,garden
5088,Amsterdam,Apartment,2,"kitchen,pool"
1893,Amsterdam,Apartment,5,free wifi
3553,Amsterdam,Apartment,1,free wifi
4160,Amsterdam,Hotel,7,"breakfast,garden,pool,free wifi,airport shuttle,parking,on-site restaurant,spa"
4724,Amsterdam,Hotel,5,"airport shuttle,garden"
2519,Amsterdam,Apartment,6,"free wifi,game console"
3877,Amsterdam,Apartment,1,"free wifi,pool,parking"
2137,Amsterdam,Hotel,9,"free wifi,airport shuttle,breakfast,pool,spa,on-site restaurant"
1962,Amsterdam,Hotel,6,"free wifi,breakfast"
3727,Amsterdam,Apartment,1,"free wifi,garden,kitchen,game console,laundry,pool,parking"
1435,Amsterdam,Hotel,7,"bbq,parking,on-site restaurant,airport shuttle,breakfast,free wifi"
3289,Amsterdam,Hotel,2,"breakfast,on-site restaurant,free wifi,airport shuttle,garden"
1346,Amsterdam,Hotel,9,"free wifi,airport shuttle,bbq,on-site restaurant,breakfast,pool"
4633,Amsterdam,Apartment,1,kitchen
1862,Amsterdam,Apartment,1,"kitchen,pool"
4634,Amsterdam,Hotel,5,"free wifi,on-site restaurant,airport shuttle,pool,breakfast,parking"
2505,Amsterdam,Apartment,4,kitchen
1923,Amsterdam,Hotel,3,"free wifi,breakfast,bbq,on-site restaurant,airport shuttle,garden,spa"
4945,Amsterdam,Apartment,6,free wifi
2651,Amsterdam,Apartment,2,"kitchen,breakfast,bbq,free wifi,garden"
1522,Amsterdam,Apartment,6,"free wifi,laundry"
3277,Amsterdam,Apartment,10,"garden,parking,kitchen,laundry"
3003,Amsterdam,Apartment,3,"parking,pool,laundry,kitchen"
1228,Amsterdam,Hotel,5,"pool,bbq,free wifi,breakfast,garden,spa"
3280,Amsterdam,Hotel,6,"airport shuttle,pool"
3129,Amsterdam,Apartment,4,"kitchen,pool"
3166,Amsterdam,Hotel,6,"bbq,breakfast,pool,garden"
2588,Amsterdam,Apartment,2,"pool,kitchen,bbq"
2241,Amsterdam,Apartment,4,"bbq,free wifi,pool"
3130,Amsterdam,Apartment,1,"free wifi,parking,bbq"
4510,Amsterdam,Apartment,2,"parking,kitchen,bbq,laundry,pool"
5150,Amsterdam,Apartment,3,"pool,laundry,bbq"
1549,Amsterdam,Apartment,4,laundry
2595,Amsterdam,Apartment,1,"kitchen,pool,laundry,bbq,free wifi"
2605,Amsterdam,Apartment,3,"kitchen,parking,pool,free wifi"
2080,Amsterdam,Apartment,3,"free wifi,kitchen,parking,pool,laundry,bbq,game console"
4621,Amsterdam,Apartment,3,laundry
1720,Amsterdam,Apartment,6,"bbq,parking,kitchen,game console"
1649,Amsterdam,Hotel,4,"on-site restaurant,breakfast,bbq,pool"
3539,Amsterdam,Hotel,6,pool
2819,Amsterdam,Hotel,2,breakfast
4442,Amsterdam,Hotel,4,"bbq,on-site restaurant"
3186,Amsterdam,Apartment,2,"kitchen,parking,laundry"
3332,Amsterdam,Hotel,5,"breakfast,free wifi"
3431,Amsterdam,Apartment,2,"parking,free wifi"
5007,Amsterdam,Apartment,2,"parking,garden"
1100,Amsterdam,Apartment,5,"parking,laundry,kitchen,pool,breakfast,bbq,free wifi,garden,game console"
4977,Amsterdam,Hotel,14,free wifi
2665,Amsterdam,Hotel,9,"airport shuttle,pool,breakfast,garden,free wifi,bbq"
4572,Amsterdam,Hotel,8,"pool,free wifi"
3435,Amsterdam,Apartment,5,"parking,garden,kitchen,free wifi"
5174,Amsterdam,Apartment,3,"breakfast,free wifi,laundry"
3210,Amsterdam,Apartment,2,"pool,bbq,garden,game console"
3751,Amsterdam,Hotel,11,"breakfast,airport shuttle,free wifi"
4235,Amsterdam,Hotel,5,"on-site restaurant,airport shuttle,garden,pool"
2541,Amsterdam,Apartment,1,"kitchen,parking,bbq,free wifi,game console,laundry,pool,garden"
3835,Amsterdam,Hotel,1,"on-site restaurant,airport shuttle,bbq"
3368,Amsterdam,Hotel,10,"airport shuttle,garden,free wifi,breakfast"
2809,Amsterdam,Hotel,4,"garden,breakfast,free wifi,airport shuttle,on-site restaurant"
4021,Amsterdam,Hotel,13,"pool,free wifi,on-site restaurant,airport shuttle"
4848,Amsterdam,Apartment,2,free wifi
1997,Amsterdam,Apartment,3,free wifi
1589,Amsterdam,Hotel,6,"bbq,breakfast,free wifi,on-site restaurant,airport shuttle,pool,garden"
2624,Amsterdam,Apartment,3,"parking,free wifi,pool"
2509,Amsterdam,Hotel,5,breakfast
4618,Amsterdam,Apartment,NA,"pool,kitchen,bbq,game console,garden,laundry"
5164,Amsterdam,Hotel,6,"on-site restaurant,pool"
2756,Amsterdam,Apartment,1,"laundry,kitchen,free wifi"
2929,Amsterdam,Apartment,1,"kitchen,garden"
1587,Amsterdam,Hotel,4,"free wifi,pool,on-site restaurant"
1436,Amsterdam,Hotel,4,"breakfast,on-site restaurant"
1705,Amsterdam,Apartment,2,"free wifi,kitchen,pool,parking,laundry,garden,bbq"
4334,Amsterdam,Hotel,NA,"airport shuttle,bbq,pool"
3891,Amsterdam,Hotel,7,"breakfast,free wifi,on-site restaurant,pool"
3367,Amsterdam,Apartment,4,kitchen
3608,Amsterdam,Hotel,6,free wifi
4773,Amsterdam,Apartment,2,"laundry,free wifi,pool,breakfast"
3116,Amsterdam,Apartment,3,"breakfast,pool,free wifi,laundry,game console,kitchen,garden"
1838,Amsterdam,Hotel,7,airport shuttle
1074,Amsterdam,Hotel,12,"pool,breakfast,airport shuttle,parking"
4821,Amsterdam,Hotel,2,"on-site restaurant,garden"
1383,Amsterdam,Hotel,5,free wifi
2976,Amsterdam,Apartment,5,"free wifi,kitchen,laundry,pool,bbq,garden"
2958,Amsterdam,Hotel,7,"pool,on-site restaurant,parking,breakfast,airport shuttle"
5160,Amsterdam,Apartment,3,laundry
2196,Amsterdam,Apartment,4,"pool,laundry,bbq,kitchen,free wifi,parking"
4807,Amsterdam,Apartment,NA,"laundry,bbq,kitchen"
4315,Amsterdam,Hotel,18,"pool,free wifi"
3122,Amsterdam,Apartment,NA,"kitchen,laundry,game console,breakfast,free wifi,bbq"
3654,Amsterdam,Apartment,3,"kitchen,parking,breakfast,laundry"
1546,Amsterdam,Apartment,3,"free wifi,garden,kitchen,laundry,pool"
1683,Amsterdam,Hotel,5,"bbq,breakfast,spa"
1043,Amsterdam,Hotel,3,"free wifi,on-site restaurant,breakfast,airport shuttle,garden,pool,bbq,parking,spa"
4197,Amsterdam,Apartment,4,"bbq,garden,kitchen,laundry,parking,free wifi,game console"
4482,Amsterdam,Apartment,3,parking
3583,Amsterdam,Apartment,9,"laundry,game console"
4060,Amsterdam,Apartment,NA,laundry
4516,Amsterdam,Hotel,5,free wifi
